(0, 3)	0.326955 0.198373 0.0997587	15 8 8 8 8 15 15 8 8 8 8 8	0.531818 1.284848 1.284849 1.886736 1.899425 2.773127 3.03644 3.081389 3.385194 3.423424 3.478402 3.537412	0.0748474
(0, 2)	0.280308 0.154083 0.145392	15 8 8 8 8 8 15 15 60 8 15 8	0.532151 1.284983 1.284985 1.951389 1.972937 2.844994 3.227441 3.300999 3.405296 3.42187 3.444476 3.452019	0.0749842
(0, 1)	0.271831 0.130516 0.0829921	15 8 8 8 8 15 8 8 15 8 8 8	0.575822 1.303674 1.303676 1.897943 1.910768 2.471415 2.914753 2.988349 3.322941 3.536599 3.572748 3.64466	0.0936755
(0, 11)	0.339578 0.0722483 0.114705	15 8 8 8 8 15 8 8 8 8 8 8	1.057664 1.576912 1.576913 1.576914 2.637885 2.884455 3.052573 3.05966 3.077074 3.249636 3.362867 3.617678	0.366913
(1, 0)	0.271831 0.130516 0.0829921	15 8 8 8 8 15 8 8 15 8 8 8	0.575822 1.303674 1.303676 1.897943 1.910768 2.471415 2.914753 2.988349 3.322941 3.536599 3.572748 3.64466	0.0936755
(1, 2)	0.221999 0.200731 0.111463	15 8 8 8 8 15 8 15 8 8 60 8	0.527515 1.283073 1.283076 1.863548 1.90607 2.755028 2.91055 3.022611 3.160214 3.280757 3.353986 3.509162	0.073073
(1, 3)	0.268647 0.236564 0.0734019	15 8 8 8 8 15 15 8 8 8 8 8	0.588966 1.309532 1.309536 1.840976 1.850885 2.545352 2.611646 2.873606 2.959195 3.385088 3.41799 3.477832	0.0995341
(1, 25)	0.219375 0.175633 0.0584372	15 8 8 8 15 8 8 15 8 8 8 8	0.896354 1.473579 1.473585 1.473586 2.340157 2.355258 2.453917 2.978792 3.097561 3.545172 3.588272 3.59312	0.263583
(2, 3)	0.275436 0.266532 0.12702	15 8 8 8 8 15 8 8 15 8 60 8	0.556815 1.295391 1.2954 1.880095 1.907691 2.428937 2.677845 2.933557 3.270695 3.30463 3.388005 3.480478	0.0853945
(2, 1)	0.221999 0.200731 0.111463	15 8 8 8 8 15 8 15 8 8 60 8	0.527515 1.283073 1.283076 1.863548 1.90607 2.755028 2.91055 3.022611 3.160214 3.280757 3.353986 3.509162	0.073073
(2, 0)	0.280308 0.154083 0.145392	15 8 8 8 8 8 15 15 60 8 15 8	0.532151 1.284983 1.284985 1.951389 1.972937 2.844994 3.227441 3.300999 3.405296 3.42187 3.444476 3.452019	0.0749842
(2, 10)	0.225091 0.230322 0.17398	15 8 8 8 8 8 15 15 60 8 8 8	1.004138 1.541517 1.541524 1.541529 2.15121 2.589517 2.725188 2.897956 3.129557 3.159846 3.161074 3.223085	0.331524
(3, 1)	0.268647 0.236564 0.0734019	15 8 8 8 8 15 15 8 8 8 8 8	0.588966 1.309532 1.309536 1.840976 1.850885 2.545352 2.611646 2.873606 2.959195 3.385088 3.41799 3.477832	0.0995341
(3, 2)	0.275436 0.266532 0.12702	15 8 8 8 8 15 8 8 15 8 60 8	0.556815 1.295391 1.2954 1.880095 1.907691 2.428937 2.677845 2.933557 3.270695 3.30463 3.388005 3.480478	0.0853945
