0	0.339578 0.0722483 0.114705	15 8 8 8 8 15 8 8 8 8 8 8	1.057664 1.576912 1.576913 1.576914 2.637885 2.884455 3.052573 3.05966 3.077074 3.249636 3.362867 3.617678	0.366913
1	0.219375 0.175633 0.0584372	15 8 8 8 15 8 8 15 8 8 8 8	0.896354 1.473579 1.473585 1.473586 2.340157 2.355258 2.453917 2.978792 3.097561 3.545172 3.588272 3.59312	0.263583
2	0.225091 0.230322 0.17398	15 8 8 8 8 8 15 15 60 8 8 8	1.004138 1.541517 1.541524 1.541529 2.15121 2.589517 2.725188 2.897956 3.129557 3.159846 3.161074 3.223085	0.331524
3	0.317132 0.296522 0.0881277	15 8 8 8 8 15 8 15 8 60 8 8	0.888248 1.468667 1.46867 1.46867 2.356151 2.385863 2.428515 2.890792 3.304799 3.314403 3.368856 3.381611	0.258669
4	0.217678 0.450819 0.232377	8 8 8 8 15 8 15 8 15 60 8 8	2.007496 2.007503 2.007504 2.007508 2.011078 2.249541 2.306793 2.342849 2.484278 2.874051 3.228797 3.400766	0.797502
5	1.0 0.444553 0.25	8 8 8 8 8 8 15 15 15 15 8 8	1.97155 1.97155 1.97155 1.97155 2.792893 2.792893 2.961852 2.961852 3.03231 3.03231 3.461837 3.461837	0.76155
6	0.0161984 0.093157 0.440939	8 8 8 8 15 60 8 8 15 8 15 8	2.257264 2.257267 2.257267 2.257268 2.634184 2.726267 2.737005 2.923708 3.031863 3.062627 3.14914 3.176962	1.04727
7	0.950071 0.387775 0.300404	8 8 8 8 15 8 15 8 15 15 60 8	1.91768 1.917681 1.917682 1.917684 2.425166 2.844881 2.858174 2.956613 2.998821 3.091402 3.178872 3.240186	0.707682
8	0.930394 0.226203 0.320268	8 8 8 8 15 60 8 15 8 15 15 8	1.871857 1.871859 1.871862 1.871867 2.233284 2.255651 2.986093 3.042337 3.065803 3.087368 3.212144 3.237634	0.661861
9	0.944636 0.17656 0.305891	8 8 8 60 8 15 15 8 15 8 8 8	1.809435 1.809442 1.809442 1.835751 2.262693 2.432846 3.104114 3.173194 3.203243 3.240834 3.353687 3.386596	0.586748
10	0.205836 0.242415 0.201444	15 8 8 8 8 15 15 8 60 8 8 8	1.422433 1.73606 1.736067 1.736071 1.736071 2.531196 2.788463 2.894579 2.954054 3.008533 3.085239 3.089918	0.526066
11	0.101563 0.541938 0.376032	15 8 8 8 8 8 8 15 8 8 8 15	2.051454 2.172385 2.172386 2.172387 2.172389 2.320527 2.757085 2.984717 3.002856 3.033575 3.129722 3.251494	0.962386
12	0.264256 0.0803824 0.269424	8 8 8 8 15 15 8 15 8 60 8 8	1.976841 1.976843 1.976844 1.976846 2.131183 2.244154 2.263836 2.276405 2.370444 2.768938 3.045091 3.226872	0.766844
13	0.985288 0.170261 0.433889	8 8 8 8 15 15 8 8 60 8 8 15	2.137767 2.137768 2.137771 2.137774 2.61398 2.637384 2.812009 2.833745 2.888548 3.352332 3.407537 3.470618	0.927771
14	0.0170969 0.451122 0.395214	8 8 8 8 15 15 8 8 8 15 8 8	2.006042 2.006044 2.006046 2.006048 2.28127 2.335698 2.656894 2.967762 3.205017 3.267482 3.28091 3.308507	0.796045
15	0.113844 0.558645 0.329035	8 8 8 8 15 8 8 60 15 15 15 8	2.135697 2.135697 2.135703 2.135704 2.219697 2.284398 2.702198 3.141112 3.142762 3.207059 3.215777 3.335529	0.9257
16	0.242647 0.0380741 0.279776	15 8 8 8 8 8 8 15 60 15 8 8	1.91428 2.002769 2.00277 2.00277 2.002772 2.171777 2.353867 2.382132 2.497937 2.505923 3.302326 3.37795	0.79277
17	0.140193 0.107876 0.427903	15 8 8 8 8 15 8 60 8 15 8 8	1.705262 1.825306 1.825307 1.825312 1.825312 2.156181 2.942292 2.945392 3.000929 3.163091 3.174393 3.344975	0.61531
18	0.178372 0.0220366 0.272444	8 8 8 60 15 8 15 15 8 8 8 8	1.824667 1.824676 1.824678 1.850768 2.219409 2.431772 2.5641 2.631204 2.646188 2.786751 3.015498 3.418582	0.601765
19	0.0124559 0.0612295 0.388573	8 8 8 60 15 8 8 15 15 8 8 8	1.974408 1.974408 1.974409 1.998547 2.707732 2.730177 2.858687 2.979401 3.049424 3.109959 3.173648 3.288316	0.749546
20	0.382199 0.921655 0.168218	8 8 8 8 8 15 8 60 15 15 15 8	2.137205 2.137207 2.137209 2.137211 2.275854 2.300735 2.751095 3.048713 3.069108 3.160646 3.235753 3.41495	0.927207
21	0.254236 0.811765 0.221769	8 8 8 8 15 8 15 60 15 60 8 8	2.038622 2.038629 2.03863 2.03863 2.288922 2.348991 2.487667 2.709947 3.054871 3.058171 3.120876 3.317664	0.828629
22	0.0415097 0.856064 0.0752605	8 8 8 8 15 60 15 15 8 15 8 8	2.026465 2.026465 2.026467 2.026468 2.431405 2.441991 3.266609 3.330731 3.408912 3.419735 3.42968 3.448685	0.816467
23	0.203677 0.996428 0.995639	15 8 8 8 8 15 8 15 8 8 15 8	1.740775 1.87101 1.871012 1.871012 1.871014 2.175207 2.394327 2.562372 2.903016 3.082173 3.160579 3.222947	0.661013
24	0.234065 0.828218 0.239333	8 8 8 8 15 8 60 15 15 8 8 60	2.042522 2.042526 2.042528 2.042533 2.28751 2.352371 2.461165 2.495346 3.096646 3.123417 3.221837 3.266603	0.832528
25	0.168848 0.153359 0.0158711	15 8 8 8 8 15 8 8 15 8 8 8	1.662161 1.801198 1.8012 1.801202 1.801203 2.076348 2.881254 3.122266 3.286046 3.381985 3.450399 3.464556	0.591202
