material_id,original_value,prediction
icsd_14,1.0047009515984748,0.0020368136
icsd_200,2.64977671867557,0.42320928
icsd_76,2.958426608925201,0.4710608
icsd_222,1.0047008870543537,0.0020367857
icsd_22,1.1768802642821579,0.07073228
